The Prowler	4.561128151736446e-05
Evelyn Keyes	2.1973192094211202e-05
Robinson Crusoe	4.134571031749256e-05
English	0.0014751322330519329
Memory	1.797489444644443e-05
Billy Zane	3.197849307708977e-05
The Wrath of God	2.954941839076363e-05
Robert Mitchum	0.0001294773910539151
The Departed	6.756263562617953e-05
police	0.00015598497646568805
Kismet	3.0455898957091355e-05
Hoodwinked!	6.292544847996836e-05
children	7.218108963487148e-05
Village of the Damned	4.563331258209505e-05
remake	0.0003678522726909932
Reel Injun	3.382386091953433e-05
Neil Diamond	1.0313375347418107e-05
The Parent Trap	7.93858893216795e-05
Dennis Quaid	0.00012222472886817872
Tarzan	0.000103890044923943
disney animated feature	2.283194776506919e-05
Yellow Sky	1.4279259187685013e-05
Western	0.0011338981101321707
The Happening	2.0798544538082682e-05
2008	0.0019798351123509997
April Fool's Day	3.797232663438573e-05
Horror	0.004390137796178343
Vantage Point	4.0814842764726724e-05
assassination	1.4141909389034214e-05
A Patch of Blue	4.6766757121470295e-05
Elizabeth Hartman	1.604836870619047e-05
Brian's Song	3.78036993309466e-05
Jack Warden	3.4182939923857156e-05
Queens Logic	2.6885229477479104e-05
Steve Rash	2.071246555188407e-05
Lost Horizon	5.257472681818681e-05
fantasy	0.00032903282424312193
Wrong Is Right	2.2803645745312398e-05
Thriller	0.002952964853469482
Life During Wartime	2.6359411589092347e-05
Allison Janney	2.2718078326198742e-05
Red Dust	5.488213530879938e-05
1932	0.0002683870026624489
Arthur	6.038619332644461e-05
1981	0.0005604032664844141
The Girl from Jones Beach	1.7596510658906293e-05
Comedy	0.01275296112144669
Chicken Run	5.3760277130567985e-05
2000	0.0011811561103529824
Safe Haven	1.8786954258021763e-05
Lasse Hallström	5.741952032971041e-05
The Dead Zone	5.0431729457879224e-05
Christopher Walken	0.00010067602248656508
The Reluctant Debutante	2.728391106701426e-05
Rex Harrison	4.377768502737881e-05
The Littlest Rebel	4.384615195626792e-05
Shirley Temple	8.786938457896299e-05
The Dog Problem	2.3955272816901415e-05
Lynn Collins	1.29372454742564e-05
Chatroom	1.6956069562383616e-05
2010	0.0018911546392439682
Caprice	2.0695517264897535e-05
Doris Day	9.148289296995707e-05
Terms of Endearment	4.256920995396116e-05
james l. brooks	1.7110503923395908e-05
Columbus Circle	1.9966693257447893e-05
George Gallo	1.629576959110088e-05
Lower City	1.9590479407073342e-05
Drama	0.013815049091600546
High, Wide, and Handsome	3.3573786606083945e-05
rouben mamoulian	2.547438046668441e-05
Regarding Henry	2.223396028191413e-05
Harrison Ford	7.942128894434092e-05
Not as a Stranger	2.8089728531040272e-05
1955	0.0003717627534011155
Marathon Man	3.438154823372971e-05
john schlesinger	3.0056890517704213e-05
Hustle	2.3696269161866496e-05
Burt Reynolds	0.00012352683760752657
She Hate Me	3.5198786237135704e-05
The Pelican	2.107773016586482e-05
Gérard Blain	1.1026646379184097e-05
Howl's Moving Castle	4.919017255543542e-05
war	0.000440031759570582
When a Stranger Calls	2.100619508568727e-05
Carol Kane	3.4978778533297674e-05
Bring Me the Head of Alfredo Garcia	1.7677777372692382e-05
Sam Peckinpah	3.9246081923343865e-05
Lucía, Lucía	3.3104270702171826e-05
Spanish	0.000620569379724232
Here Without Me	2.1444844004513454e-05
Tennessee Williams	4.819495376454146e-05
Gold Diggers of 1933	5.23578221295944e-05
Ben Markson	1.2007555958075579e-05
Crackers	1.5001200993310246e-05
Louis Malle	5.56624783348687e-05
Dopamine	1.8879833588720908e-05
Mark Decena	7.338763308080998e-06
Raging Bull	7.392964842324995e-05
Robert De Niro	0.0001830895829437354
Last Passenger	3.509742477315652e-05
Omid Nooshin	8.284414763090905e-06
Armed and Dangerous	3.0731802528269555e-05
1986	0.0006533500600673603
The Bat	4.3351739514152265e-05
Avery Hopwood	1.6261148682513217e-05
Memento	6.563508645598964e-05
original	7.35754955359775e-05
Suicide Kings	3.0261827583362225e-05
christopher walken	9.786646501754155e-05
Zombieland	6.062333574065598e-05
emma stone	2.3713073324183993e-05
Anastasia	8.15169898152311e-05
1997	0.0011822196048632263
Some Kind of Wonderful	4.4180151216904335e-05
Howard Deutch	2.4638162749513973e-05
La Dolce Vita	3.107854215308696e-05
1960	0.00035939612556529113
The Spirit of St. Louis	1.9808532661422143e-05
billy wilder	5.904552228049133e-05
Treasure Island	6.702864329698274e-05
robert louis stevenson	2.232015696262147e-05
Feeling Minnesota	2.8879469284289735e-05
Keanu Reeves	8.122292889005735e-05
Just Friends	4.9973822163790184e-05
Roger Kumble	1.9261422057695976e-05
Equinox	6.806554073305023e-05
Jack Woods	7.186647839358497e-06
+1	3.0462042010419988e-05
2013	0.0018648332327289951
Kazaam	1.9340911246014628e-05
Shaquille O'Neal	9.680578818968154e-06
Crazy Love	4.665089475416266e-05
Charles Bukowski	1.715647328225954e-05
Entr'acte	3.1143199507996817e-05
René Clair	3.2780102853000417e-05
The Karate Kid	7.752217175705493e-05
Chinese	1.5935668626311367e-05
Alambrista!	2.8781148604179053e-05
1977	0.00041563806358538676
The Train Robbers	2.0246826518984207e-05
Burt Kennedy	4.336866000643761e-05
Major League	3.612688453940369e-05
Corbin Bernsen	2.5107650676773338e-05
Neighbors	7.05722460364733e-05
John Belushi	1.7203260873926056e-05
Interview with the Assassin	1.8470409390586275e-05
Raymond J. Barry	1.4956555930720831e-05
Underground	3.561766794001627e-05
Serbian	3.788985700062826e-05
Thunder Rock	3.2296426589658716e-05
Michael Redgrave	4.896015614890337e-05
Sheitan	3.267367995996591e-05
2004	0.0014290211884515017
